sentence_id,source_file,tokens,text,cluster,cluster_label_auto
11,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['ces', 'documents', 'peuvent', 'réutilisés', 'sauf', 'dans', 'cadre', 'copie', 'privée', 'sans', 'autorisation', 'préalable', 'titulaire', 'droits']",ces documents peuvent réutilisés sauf dans cadre copie privée sans autorisation préalable titulaire droits,0,pour / dans / ces
12,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['reproductions', 'documents', 'conservés', 'dans', 'bibliothèques', 'autres', 'institutions', 'partenaires']",reproductions documents conservés dans bibliothèques autres institutions partenaires,0,pour / dans / ces
13,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['ceux', 'signalés', 'par', 'mention', 'source', 'gallica', 'bnf', 'bibliothèque', 'municipale']",ceux signalés par mention source gallica bnf bibliothèque municipale,2,par / dans / leur
14,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['utilisateur', 'invité', 'informer', 'auprès', 'ces', 'bibliothèques', 'leurs', 'conditions', 'réutilisation']",utilisateur invité informer auprès ces bibliothèques leurs conditions réutilisation,0,pour / dans / ces
15,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['gallica', 'constitue', 'base', 'données', 'bnf', 'producteur', 'protégée', 'sens', 'articles', 'suivants', 'code', 'propriété', 'intellectuelle']",gallica constitue base données bnf producteur protégée sens articles suivants code propriété intellectuelle,0,pour / dans / ces
16,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['présentes', 'conditions', 'utilisation', 'contenus', 'gallica', 'régies', 'par', 'loi', 'française']",présentes conditions utilisation contenus gallica régies par loi française,2,par / dans / leur
17,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['cas', 'réutilisation', 'prévue', 'dans', 'autre', 'pays', 'appartient', 'chaque', 'utilisateur', 'vérifier', 'conformité', 'son', 'projet', 'avec', 'droit', 'pays']",cas réutilisation prévue dans autre pays appartient chaque utilisateur vérifier conformité son projet avec droit pays,0,pour / dans / ces
18,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['utilisateur', 'engage', 'respecter', 'présentes', 'conditions', 'utilisation', 'ainsi', 'législation', 'vigueur', 'notamment', 'matière', 'propriété', 'intellectuelle']",utilisateur engage respecter présentes conditions utilisation ainsi législation vigueur notamment matière propriété intellectuelle,0,pour / dans / ces
19,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['cas', 'non', 'respect', 'ces', 'dispositions', 'notamment', 'passible', 'amende', 'prévue', 'par', 'loi', 'juillet']",cas non respect ces dispositions notamment passible amende prévue par loi juillet,2,par / dans / leur
20,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['pour', 'obtenir', 'document', 'gallica', 'haute', 'définition', 'contacter', 'utilisation', 'commerciale', 'bnf']",pour obtenir document gallica haute définition contacter utilisation commerciale bnf,0,pour / dans / ces
21,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['campagne', 'dans', 'haut', 'sénégal', 'dans', 'haut', 'niger', 'rak', 'colonel']",campagne dans haut sénégal dans haut niger rak colonel,3,dans / plus / soudan
22,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['frey', 'commandant', 'régiment', 'infanterie', 'marine', 'ouvrage', 'accompagné', 'trois', 'cartes', 'paris', 'librairie', 'plon', 'plon', 'nourrit', 'cie', 'imprimeurs', 'éditeurs', 'rue', 'garancière', 'tous', 'droits', 'réservés', 'campagne', 'dans', 'haut', 'sénégal', 'dans', 'haut', 'niger', 'auteur', 'éditeurs', 'déclarent', 'réserver', 'leurs', 'droits', 'traduction', 'reproduction', 'étranger']",frey commandant régiment infanterie marine ouvrage accompagné trois cartes paris librairie plon plon nourrit cie imprimeurs éditeurs rue garancière tous droits réservés campagne dans haut sénégal dans haut niger auteur éditeurs déclarent réserver leurs droits traduction reproduction étranger,3,dans / plus / soudan
23,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['volume', 'etre', 'déposé', 'ministère', 'intérieur', 'section', 'librairie', 'mai']",volume etre déposé ministère intérieur section librairie mai,0,pour / dans / ces
24,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['campagne', 'dans', 'haut', 'sénégal', 'ouvrage', 'accompagné', 'trois', 'cartes', 'paris', 'librairie', 'plon']",campagne dans haut sénégal ouvrage accompagné trois cartes paris librairie plon,3,dans / plus / soudan
25,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['plon', 'nourrit', 'cie', 'imprimeurs', 'éditeurs', 'kde', 'garancière', 'tous', 'droitsréservés', 'note', 'auteur', 'livre', 'nullement', 'caractère', 'officiel', 'publication', 'ministère', 'marine', 'colonies']",plon nourrit cie imprimeurs éditeurs kde garancière tous droitsréservés note auteur livre nullement caractère officiel publication ministère marine colonies,0,pour / dans / ces
26,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['conséquence', 'idées', 'émises', 'personnelles', 'auteur', 'engagent', 'respon', 'sabilité']",conséquence idées émises personnelles auteur engagent respon sabilité,0,pour / dans / ces
27,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['monsieur', 'général', 'boulanger', 'hommar', 'ederespectueux', 'dévouement']",monsieur général boulanger hommar ederespectueux dévouement,0,pour / dans / ces
28,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['vichy', 'nst', 'campagne', 'dans', 'haut', 'sénégal', 'dans', 'haut', 'niger', 'contre', 'samory', 'contre', 'mahmadou', 'lamine', 'campagne', 'effectuée', 'sur', 'haut', 'sénégal', 'sur', 'haut', 'niger', 'par', 'colonne', 'placée', 'sous', 'commandement', 'lieutenant', 'colo', 'nel', 'frey', 'peut', 'diviser', 'deux', 'périodes', 'bien', 'distinctes']",vichy nst campagne dans haut sénégal dans haut niger contre samory contre mahmadou lamine campagne effectuée sur haut sénégal sur haut niger par colonne placée sous commandement lieutenant colo nel frey peut diviser deux périodes bien distinctes,3,dans / plus / soudan
29,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['première', 'comprend', 'opérations', 'dirigées', 'contre', 'bandes', 'almamy', 'samory', 'eurent', 'pour', 'résultat', 'rejeter', 'ces', 'bandes', 'sur', 'rive', 'droite', 'niger', 'amener', 'conclusion', 'traité', 'paix', 'avec', 'chef', 'indigène']",première comprend opérations dirigées contre bandes almamy samory eurent pour résultat rejeter ces bandes sur rive droite niger amener conclusion traité paix avec chef indigène,4,sur / rive / pour
30,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['deuxième', 'période', 'comprend', 'opérations', 'eurent', 'pour', 'objet', 'pacification', 'guoye', 'kamera', 'guidimaka', 'provinces', 'haut', 'séné', 'gal', 'habitants', 'étaient', 'soulevés', 'masse', 'sur', 'derrières', 'colonne', 'voix', 'pro', 'phète', 'mahmadou', 'lamine', 'avaient', 'mis', 'siège', 'devant', 'fort', 'bakel']",deuxième période comprend opérations eurent pour objet pacification guoye kamera guidimaka provinces haut séné gal habitants étaient soulevés masse sur derrières colonne voix pro phète mahmadou lamine avaient mis siège devant fort bakel,4,sur / rive / pour
31,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['distance', 'sépare', 'points', 'extrêmes', 'ces', 'deux', 'théâtres', 'opération', 'bamakou', 'dem', 'bakané', 'environ', 'neuf', 'cents', 'kilomètres', 'considère', 'cette', 'distance', 'etre', 'franchie', 'retour', 'moins', 'deux', 'mois', 'par', 'trou', 'pes', 'déjà', 'fatiguées', 'exténuées', 'par', 'première', 'campagne', 'tant', 'sur', 'niger', 'sur', 'négal', 'ces', 'troupes', 'durent', 'livrer', 'douze', 'combats', 'adversaire', 'fanatisé', 'toujours', 'dix', 'fois', 'supé', 'rieur', 'nombre', 'ajoute', 'mauvais', 'état', 'sentiers', 'manque', 'ressources', 'con', 'trées', 'traversées', 'ravages', 'causés', 'par', 'mala', 'dies', 'par', 'feu', 'ennemi', 'dans', 'rangs', 'petit', 'corps', 'expéditionnaire', 'demeurera', 'convaincu', 'seules', 'troupes', 'moral', 'excellent', 'confiance', 'aveugle', 'dans', 'leurs', 'chefs', 'admirablement', 'entraînées', 'commandées', 'par', 'officiers', 'grande', 'énergie', 'étaient', 'capables', 'semblables', 'efforts']",distance sépare points extrêmes ces deux théâtres opération bamakou dem bakané environ neuf cents kilomètres considère cette distance etre franchie retour moins deux mois par trou pes déjà fatiguées exténuées par première campagne tant sur niger sur négal ces troupes durent livrer douze combats adversaire fanatisé toujours dix fois supé rieur nombre ajoute mauvais état sentiers manque ressources con trées traversées ravages causés par mala dies par feu ennemi dans rangs petit corps expéditionnaire demeurera convaincu seules troupes moral excellent confiance aveugle dans leurs chefs admirablement entraînées commandées par officiers grande énergie étaient capables semblables efforts,2,par / dans / leur
32,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['cet', 'hommage', 'sera', 'pour', 'plus', 'grand', 'nombre', 'entre', 'principalement', 'pour', 'corps', 'tirailleurs', 'seule', 'récompense', 'tant', 'dévouement', 'tant', 'peines', 'récit', 'faire', 'marches', 'com', 'bats', 'effectués', 'dans', 'haut', 'négal', 'par', 'cette', 'poignée', 'hommes', 'dignes', 'émules', 'leurs', 'frères', 'armes', 'même', 'époque', 'distinguaient', 'avec', 'tant', 'éclat', 'dans', 'extrême', 'orient', 'sera', 'pour', 'pays', 'nouvelle', 'occasion', 'constater', 'esprit', 'devoir', 'abnégation', 'anime', 'ceux', 'auxquels', 'confié', 'honneur', 'pro', 'mener', 'drapeau', 'france', 'dans', 'toutes', 'parties', 'monde']",cet hommage sera pour plus grand nombre entre principalement pour corps tirailleurs seule récompense tant dévouement tant peines récit faire marches com bats effectués dans haut négal par cette poignée hommes dignes émules leurs frères armes même époque distinguaient avec tant éclat dans extrême orient sera pour pays nouvelle occasion constater esprit devoir abnégation anime ceux auxquels confié honneur pro mener drapeau france dans toutes parties monde,3,dans / plus / soudan
33,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['armée', 'puisera', 'sentiment', 'encore', 'plus', 'grand', 'confiance', 'dans', 'avenir', 'pensée', 'ses', 'réserves', 'terre', 'mer', 'comptent', 'dès', 'aujourd', 'hui', 'nombreux', 'éléments', 'rompus', 'aux', 'pertes', 'etre', 'huit', 'officiers', 'morts', 'maladie']",armée puisera sentiment encore plus grand confiance dans avenir pensée ses réserves terre mer comptent dès aujourd hui nombreux éléments rompus aux pertes etre huit officiers morts maladie,5,ses / son / lui
34,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['sarciron', 'falgeras', 'vétérinaires', 'sibut', 'bourde', 'bonnard', 'boyer', 'carrémieux', 'lieutenants', 'rodot', 'sous', 'lieutenant', 'aux', 'tirailleurs', 'sénégalais', 'lecorney', 'médecin']",sarciron falgeras vétérinaires sibut bourde bonnard boyer carrémieux lieutenants rodot sous lieutenant aux tirailleurs sénégalais lecorney médecin,0,pour / dans / ces
35,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['laty', 'coytier', 'samba', 'maram', 'suleyman', 'toumané']",laty coytier samba maram suleyman toumané,0,pour / dans / ces
36,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['cent', 'trente', 'sous', 'officiers', 'soldats', 'européens', 'soixante', 'cinq', 'tirailleurs', 'morts', 'suites', 'leurs', 'fatigues', 'tués', 'blessés', 'soixante', 'autres', 'tirailleurs', 'etre', 'cent', 'quarante', 'sous', 'officiers', 'soldats', 'européens', 'etre', 'évacués', 'cours', 'campagne', 'comme', 'malades', 'sur', 'saint', 'louis']",cent trente sous officiers soldats européens soixante cinq tirailleurs morts suites leurs fatigues tués blessés soixante autres tirailleurs etre cent quarante sous officiers soldats européens etre évacués cours campagne comme malades sur saint louis,0,pour / dans / ces
37,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['ces', 'chiffres', 'rapportent', 'effectif', 'millier', 'hommes', 'période', 'huit', 'neuf', 'mois']",ces chiffres rapportent effectif millier hommes période huit neuf mois,0,pour / dans / ces
38,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['capitaines', 'figié', 'tirailleurs', 'lefranc', 'artillerie']",capitaines figié tirailleurs lefranc artillerie,0,pour / dans / ces
39,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['maubert', 'sous', 'lieutenant', 'tirailleurs', 'morts', 'dans', 'même', 'année']",maubert sous lieutenant tirailleurs morts dans même année,0,pour / dans / ces
40,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['fatigues', 'aux', 'misères', 'vie', 'campagne', 'glo', 'rieux', 'débris', 'nos', 'expéditions', 'coloniales', 'seraient', 'prêts', 'comme', 'leurs', 'aînés', 'donner', 'pour', 'défense', 'son', 'honneur', 'son', 'sol', 'exemple', 'héroïques', 'dévouements']",fatigues aux misères vie campagne glo rieux débris nos expéditions coloniales seraient prêts comme leurs aînés donner pour défense son honneur son sol exemple héroïques dévouements,5,ses / son / lui
41,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['première', 'partie', 'campagne', 'contre', 'samory', 'chapitre', 'premier', 'avant', 'entreprendre', 'récit', 'croyons', 'téressant', 'retracer', 'brièvement', 'principaux', 'événements', 'marqué', 'diverses', 'étapes', 'pénétration', 'française', 'dans', 'contrées', 'devaient', 'théâtre', 'cette', 'campagne']",première partie campagne contre samory chapitre premier avant entreprendre récit croyons téressant retracer brièvement principaux événements marqué diverses étapes pénétration française dans contrées devaient théâtre cette campagne,0,pour / dans / ces
42,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['aucune', 'époque', 'son', 'histoire', 'depuis', 'date', 'découverte', 'flatter', 'sénégal', 'dût', 'jamais', 'ces', 'colonies', 'climat', 'richesses', 'naturelles', 'provoquent', 'grands', 'courants', 'immigration', 'appellent', 'nombreux', 'capitaux', 'deviennent', 'enfin', 'cen', 'tres', 'florissants', 'exploitation', 'agricole', 'indus', 'trielle']",aucune époque son histoire depuis date découverte flatter sénégal dût jamais ces colonies climat richesses naturelles provoquent grands courants immigration appellent nombreux capitaux deviennent enfin cen tres florissants exploitation agricole indus trielle,0,pour / dans / ces
43,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['effet', 'insalubrité', 'climat', 'permet', 'pas', 'aux', 'européens', 'même', 'aux', 'métis', 'issus', 'croi', 'sements', 'notre', 'race', 'avec', 'races', 'indigènes', 'faire', 'long', 'séjour', 'sauf', 'sur', 'quelques', 'points', 'côte', 'sans', 'compromettre', 'gravement', 'leur', 'santé', 'autre', 'part', 'sol', 'offre', 'peu', 'ressources', 'jusqu', 'jour', 'toutes', 'entreprises', 'industrielles', 'agricoles', 'quelque', 'importance', 'etre', 'tentées', 'misérablement', 'échoué']",effet insalubrité climat permet pas aux européens même aux métis issus croi sements notre race avec races indigènes faire long séjour sauf sur quelques points côte sans compromettre gravement leur santé autre part sol offre peu ressources jusqu jour toutes entreprises industrielles agricoles quelque importance etre tentées misérablement échoué,4,sur / rive / pour
44,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['dans', 'ces', 'conditions', 'dehors', 'saint', 'louis', 'gorée', 'tout', 'temps', 'etre', 'fois', 'métis', 'désignés', 'par', 'noirs', 'sous', 'nom', 'signars', 'seigneurs', 'maîtres', 'nombre', 'seulement', 'deux', 'trois', 'mille', 'malgré', 'date', 'déjà', 'ancienne', 'notre', 'occupa', 'tion', 'sénégal']",dans ces conditions dehors saint louis gorée tout temps etre fois métis désignés par noirs sous nom signars seigneurs maîtres nombre seulement deux trois mille malgré date déjà ancienne notre occupa tion sénégal,2,par / dans / leur
45,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['forment', 'colonie', 'intelligente', 'labo', 'rieuse', 'vivant', 'harmonie', 'avec', 'élément', 'européen']",forment colonie intelligente labo rieuse vivant harmonie avec élément européen,0,pour / dans / ces
46,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['nos', 'établissements', 'étaient', 'susceptibles', 'grand', 'avenir', 'com', 'mercial', 'agricole', 'aux', 'métis', 'appartiendrait', 'créer', 'malheureusement', 'illeur', 'manque', 'génie', 'aventureux', 'goût', 'entreprises', 'lointaines', 'ces', 'qualités', 'essentielles', 'toute', 'race', 'réellement', 'commerçante']",nos établissements étaient susceptibles grand avenir com mercial agricole aux métis appartiendrait créer malheureusement illeur manque génie aventureux goût entreprises lointaines ces qualités essentielles toute race réellement commerçante,0,pour / dans / ces
47,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['ainsi', 'dans', 'ces', 'contrées', 'entre', 'sénégal', 'niger', 'etre', 'construit', 'tronçon', 'voie', 'ferrée', 'soixantaine', 'kilpmètres', 'auxquelles', 'vient', 'donner', 'dénomination', 'soudan', 'français', 'aucun', 'comptoir', 'encore', 'etre', 'fondé', 'par', 'européens', 'pas', 'plus', 'par', 'métis', 'bien', 'plus', 'pas', 'seul', 'ces', 'derniers', 'encore', 'parcouru', 'cette', 'région', 'pour', 'rendre', 'compte', 'dela', 'vaieur', 'nouveaux', 'débouchés', 'ouverts', 'marché', 'français']",ainsi dans ces contrées entre sénégal niger etre construit tronçon voie ferrée soixantaine kilpmètres auxquelles vient donner dénomination soudan français aucun comptoir encore etre fondé par européens pas plus par métis bien plus pas seul ces derniers encore parcouru cette région pour rendre compte dela vaieur nouveaux débouchés ouverts marché français,3,dans / plus / soudan
48,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['résulte', 'comme', 'aux', 'premiers', 'jours', 'notre', 'établissement', 'trafic', 'intérieur', 'sénégambie', 'aujourd', 'hui', 'tout', 'entier', 'encore', 'entre', 'mains', 'indigènes', 'routine', 'fait', 'questions', 'commerciales', 'estl', 'unique', 'guide']",résulte comme aux premiers jours notre établissement trafic intérieur sénégambie aujourd hui tout entier encore entre mains indigènes routine fait questions commerciales estl unique guide,0,pour / dans / ces
49,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['deux', 'grands', 'entrepôts', 'commerce', 'siège', 'administrations', 'services', 'nos', 'établissements', 'sénégal', 'toujours', 'etre', 'con', 'sidérés', 'comme', 'simples', 'comptoirs', 'mar', 'chés', 'dans', 'lesquels', 'abri', 'nos', 'canons', 'pendant', 'lessept', 'huit', 'mois', 'dure', 'chaque', 'année', 'saison', 'traite', 'représentants', 'maisons', 'com', 'merce', 'généralement', 'indigènes', 'dispu', 'tent', 'par', 'concurrence', 'acharnée', 'rares', 'pro', 'duits', 'apportés', 'intérieur', 'troquent', 'contre', 'produits', 'manufactures', 'usines', 'euro', 'péennes', 'provenance', 'tant', 'étrangère', 'française']",deux grands entrepôts commerce siège administrations services nos établissements sénégal toujours etre con sidérés comme simples comptoirs mar chés dans lesquels abri nos canons pendant lessept huit mois dure chaque année saison traite représentants maisons com merce généralement indigènes dispu tent par concurrence acharnée rares pro duits apportés intérieur troquent contre produits manufactures usines euro péennes provenance tant étrangère française,2,par / dans / leur
50,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['nombre', 'importance', 'ces', 'comptoirs', 'général', 'prospérité', 'colonie', 'varié', 'avec', 'fluctuations', 'situation', 'politique', 'pays', 'particularité', 'digne', 'remarque', 'cette', 'prospérité', 'même', 'etre', 'réelle', 'dans', 'seules', 'années', 'correspondu', 'accroissement', 'charges', 'métropole']",nombre importance ces comptoirs général prospérité colonie varié avec fluctuations situation politique pays particularité digne remarque cette prospérité même etre réelle dans seules années correspondu accroissement charges métropole,3,dans / plus / soudan
51,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['jusqu', 'sous', 'dénominations', 'dakar', 'ruffisque', 'deux', 'autres', 'entrepôts', 'colo', 'nie', 'villes', 'création', 'récente']",jusqu sous dénominations dakar ruffisque deux autres entrepôts colo nie villes création récente,0,pour / dans / ces
52,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['diverses', 'compagnie', 'normande', 'compagnie', 'indes', 'occidentales', 'compagnie', 'afrique', 'etc']",diverses compagnie normande compagnie indes occidentales compagnie afrique etc,0,pour / dans / ces
53,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['onze', 'grandes', 'compagnies', 'joui', 'successivement', 'monopole', 'exclusif', 'commerce', 'sénégal']",onze grandes compagnies joui successivement monopole exclusif commerce sénégal,0,pour / dans / ces
54,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['malgré', 'privilèges', 'leur', 'étaient', 'octroyés', 'accablées', 'dettes', 'procès', 'ces', 'compagnies', 'ruinèrent', 'durent', 'passer', 'autre', 'concession', 'droits', 'priviléges', 'établisse', 'ments', 'possédaient']",malgré privilèges leur étaient octroyés accablées dettes procès ces compagnies ruinèrent durent passer autre concession droits priviléges établisse ments possédaient,0,pour / dans / ces
55,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['ces', 'établissements', 'com', 'prenaient', 'quelques', 'comptoirs', 'sur', 'côte', 'certain', 'nombre', 'comptoirs', 'sur', 'fleuve', 'déjà', 'effet', 'pendant', 'cette', 'période', 'postes', 'avaient', 'etre', 'construits', 'dramané', 'non', 'loin', 'médine', 'pour', 'assurer', 'protection', 'comptoirs', 'haut', 'sénégal', 'autre', 'sénoudébou', 'pour', 'assurer', 'celle', 'comptoirs', 'falémé']",ces établissements com prenaient quelques comptoirs sur côte certain nombre comptoirs sur fleuve déjà effet pendant cette période postes avaient etre construits dramané non loin médine pour assurer protection comptoirs haut sénégal autre sénoudébou pour assurer celle comptoirs falémé,4,sur / rive / pour
56,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['gouverneurs', 'suc', 'cédé', 'tête', 'administration', 'cette', 'colonie', 'surtout', 'appliqués', 'développer', 'conso', 'lider', 'ces', 'établissements']",gouverneurs suc cédé tête administration cette colonie surtout appliqués développer conso lider ces établissements,0,pour / dans / ces
57,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['nouveaux', 'postes', 'furent', 'établis', 'plus', 'grande', 'partie', 'territoires', 'situés', 'sur', 'rive', 'gauche', 'fleuve', 'jusqu', 'médine', 'furent', 'annexés', 'placés', 'sous', 'protectorat', 'france']",nouveaux postes furent établis plus grande partie territoires situés sur rive gauche fleuve jusqu médine furent annexés placés sous protectorat france,4,sur / rive / pour
