sentence_id,source_file,tokens,text,matched_keywords,primary_keyword,cluster,cluster_label_auto
11,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['effet', 'concerne', 'sultan', 'ségou', 'notre', 'marche', 'sur', 'bamakou', 'pour', 'résultat', 'immédiat', 'amputation', 'considérable', 'faite', 'vaste', 'empire', 'toucouleur', 'lui', 'légué', 'son', 'père', 'hadj', 'omar']",effet concerne sultan ségou notre marche sur bamakou pour résultat immédiat amputation considérable faite vaste empire toucouleur lui légué son père hadj omar,['Hadj'],Hadj,5,par / plus / hadj
12,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['rambaud', 'revue', 'deuxmondes', 'avons', 'élevé', 'forts', 'bafoulabé', 'badumbé', 'kita', 'bamakou', 'avons', 'prissabouciré', 'poubanko', 'daba', 'ses', 'vizirs', 'avons', 'chassé', 'mourgoula', 'ses', 'sujets', 'avons', 'châtiés', 'liés', 'par', 'traités', 'ses', 'forêts', 'avons', 'abattues', 'pour', 'tracer', 'notre', 'ligne', 'chemin', 'fer', 'sur', 'ses', 'eaux', 'navigue', 'notre', 'canonnière', 'niger']",rambaud revue deuxmondes avons élevé forts bafoulabé badumbé kita bamakou avons prissabouciré poubanko daba ses vizirs avons chassé mourgoula ses sujets avons châtiés liés par traités ses forêts avons abattues pour tracer notre ligne chemin fer sur ses eaux navigue notre canonnière niger,[],,3,était / pour / lui
13,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['ahmadou', 'supporte', 'tout', 'cela', 'cependant', 'plus', 'devenons', 'menaçants', 'plus', 'dit', 'notre', 'ami']",ahmadou supporte tout cela cependant plus devenons menaçants plus dit notre ami,['Ahmadou'],Ahmadou,5,par / plus / hadj
14,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['même', 'temps', 'commençait', 'contre', 'chef', 'série', 'agissements', 'visaient', 'amoindrissement', 'son', 'autorité', 'désagrégation', 'dissolution', 'son', 'empire']",même temps commençait contre chef série agissements visaient amoindrissement son autorité désagrégation dissolution son empire,[],,3,était / pour / lui
15,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['ainsi', 'non', 'seulement', 'poussait', 'révolte', 'tribus', 'plus', 'turbulentes', 'encourageait', 'espérances', 'bambaras', 'race', 'vaincue', 'brûle', 'désir', 'reconquérir', 'son', 'indépendance', 'encore', 'détachait', 'ahmadou', 'leur', 'imposant', 'traité', 'habitants', 'nyamina', 'sur', 'niger', 'passaient', 'pour', 'ses', 'plus', 'fidèles', 'sujets']",ainsi non seulement poussait révolte tribus plus turbulentes encourageait espérances bambaras race vaincue brûle désir reconquérir son indépendance encore détachait ahmadou leur imposant traité habitants nyamina sur niger passaient pour ses plus fidèles sujets,['Ahmadou'],Ahmadou,5,par / plus / hadj
16,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['réalité', 'loin', 'dire', 'notre', 'ami', 'ahmadou', 'musulman', 'convaincu', 'par', 'cela', 'même', 'déjà', 'enclin', 'détester', 'vouéune', 'haine', 'impla', 'cable']",réalité loin dire notre ami ahmadou musulman convaincu par cela même déjà enclin détester vouéune haine impla cable,['Ahmadou'],Ahmadou,5,par / plus / hadj
17,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['sent', 'pas', 'capable', 'rendre', 'coup', 'pour', 'coup', 'outrage', 'pour', 'outrage', 'chaque', 'fois', 'occasion', 'principa', 'lement', 'lorsqu', 'lui', 'demande', 'reconnaître', 'faits', 'accomplis', 'proteste', 'avec', 'plus', 'grande', 'énergie', 'contre', 'invasion', 'ses', 'états', 'contre', 'toutes', 'menées', 'ourdies', 'contre', 'lui']",sent pas capable rendre coup pour coup outrage pour outrage chaque fois occasion principa lement lorsqu lui demande reconnaître faits accomplis proteste avec plus grande énergie contre invasion ses états contre toutes menées ourdies contre lui,[],,5,par / plus / hadj
18,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['oubliez', 'pas', 'dit', 'avez', 'fait', 'irruption', 'dans', 'mes', 'états', 'sans', 'autorisation', 'sans', 'droit', 'aucun', 'mépris', 'traités', 'liaient', 'revendiquerai', 'toute', 'vie', 'possession', 'terrains', 'mêmes', 'sur']",oubliez pas dit avez fait irruption dans mes états sans autorisation sans droit aucun mépris traités liaient revendiquerai toute vie possession terrains mêmes sur,[],,3,était / pour / lui
19,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['lesquels', 'élèvent', 'vos', 'forts', 'appelle', 'dieu', 'vengeur', 'proclamant', 'hautement', 'heure', 'viendra', 'justice', 'sera', 'faite']",lesquels élèvent vos forts appelle dieu vengeur proclamant hautement heure viendra justice sera faite,[],,3,était / pour / lui
20,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['cesse', 'dire', 'ses', 'familiers', 'occasion', 'favorable', 'présente', 'prendra', 'résolu', 'ment', 'offensive', 'pour', 'jeter', 'hors', 'son', 'ter', 'ritoire']",cesse dire ses familiers occasion favorable présente prendra résolu ment offensive pour jeter hors son ter ritoire,[],,3,était / pour / lui
21,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['lutte', 'sourde', 'lui', 'faisons', 'ahmadou', 'toujours', 'opposé', 'hostilité', 'nettement', 'déclarée', 'ainsi', 'interdit', 'façon', 'plus', 'formelle', 'tout', 'habitant', 'rive', 'droite', 'sénégal', 'plus', 'riche', 'mieux', 'cultivée', 'deux', 'rives', 'vendre', 'bœuf', 'âne', 'grain', 'mil', 'fournir', 'muletier', 'seul', 'travailleur']",lutte sourde lui faisons ahmadou toujours opposé hostilité nettement déclarée ainsi interdit façon plus formelle tout habitant rive droite sénégal plus riche mieux cultivée deux rives vendre bœuf âne grain mil fournir muletier seul travailleur,['Ahmadou'],Ahmadou,4,deux / deux colonnes / colonnes
22,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['espère', 'parvenir', 'par', 'moyen', 'lasser', 'notre', 'patience', 'forcer', 'abandonner', 'terre', 'pourra', 'plus', 'fournir', 'désormais', 'nos', 'colonnes', 'ressources', 'nécessaires', 'leur', 'subsistance']",espère parvenir par moyen lasser notre patience forcer abandonner terre pourra plus fournir désormais nos colonnes ressources nécessaires leur subsistance,[],,5,par / plus / hadj
23,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['époque', 'occupe', 'ahmadou', 'quitté', 'ségou', 'laissant', 'commandement', 'son', 'fils', 'formé', 'projet', 'réprimer', 'soulèvements', 'étaient', 'produits', 'sur', 'quelques', 'points', 'ses', 'états', 'depuis', 'plusieurs', 'mois', 'assié', 'geait', 'nioro', 'dans', 'laquelle', 'était', 'enfermé', 'montaga', 'ses', 'frères', 'tenté', 'soustraire', 'son', 'autorité']",époque occupe ahmadou quitté ségou laissant commandement son fils formé projet réprimer soulèvements étaient produits sur quelques points ses états depuis plusieurs mois assié geait nioro dans laquelle était enfermé montaga ses frères tenté soustraire son autorité,['Ahmadou'],Ahmadou,3,était / pour / lui
24,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['concerne', 'samory', 'nos', 'relations', 'avec', 'grand', 'chef', 'soudan', 'occidental', 'avaient', 'débuté', 'par', 'échange', 'coups', 'fusil']",concerne samory nos relations avec grand chef soudan occidental avaient débuté par échange coups fusil,[],,0,avec / lui / ses
25,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['plus', 'auda', 'cieux', 'plus', 'entreprenant', 'ahmadou', 'scheikou', 'plus', 'confiant', 'dans', 'ses', 'forces', 'samory', 'hésita', 'pas', 'instant', 'tenir', 'tête']",plus auda cieux plus entreprenant ahmadou scheikou plus confiant dans ses forces samory hésita pas instant tenir tête,['Ahmadou'],Ahmadou,5,par / plus / hadj
26,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['jusqu', 'son', 'nom', 'était', 'peine', 'connu', 'cependant', 'puissance', 'était', 'déjà', 'considé', 'rable']",jusqu son nom était peine connu cependant puissance était déjà considé rable,[],,3,était / pour / lui
27,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['était', 'depuis', 'plusieurs', 'années', 'maître', 'incon', 'testé', 'sur', 'rive', 'droite', 'haut', 'niger', 'vaste', 'territoire', 'ayant', 'pour', 'centre', 'ouassoulou', 'arrondissait', 'chaque', 'jour', 'dans', 'tous', 'sens', 'détriment', 'part', 'empire', 'ségou', 'autre', 'part', 'petits', 'états', 'indépendants', 'compris', 'dans', 'grande', 'boucle', 'niger', 'ceux', 'étendent', 'source', 'fléuve', 'côte', 'occi', 'dentale']",était depuis plusieurs années maître incon testé sur rive droite haut niger vaste territoire ayant pour centre ouassoulou arrondissait chaque jour dans tous sens détriment part empire ségou autre part petits états indépendants compris dans grande boucle niger ceux étendent source fléuve côte occi dentale,[],,3,était / pour / lui
28,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['samory', 'maintint', 'encore', 'pendant', 'cette', 'campagne', 'sur', 'rive', 'gauche']",samory maintint encore pendant cette campagne sur rive gauche,[],,3,était / pour / lui
29,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['pendant', 'campagne', 'suivante', 'lieutenant', 'colonel', 'boilève', 'eut', 'simplement', 'pour', 'mission', 'effectuer', 'ravitaillement', 'postes']",pendant campagne suivante lieutenant colonel boilève eut simplement pour mission effectuer ravitaillement postes,[],,3,était / pour / lui
30,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['instructions', 'ministérielles', 'lui', 'enjoignaient', 'faire', 'campagne', 'pacifique', 'éviter', 'par', 'suite', 'toute', 'occasion', 'conflit', 'avec', 'armées', 'samory', 'ahmadou', 'scheikou']",instructions ministérielles lui enjoignaient faire campagne pacifique éviter par suite toute occasion conflit avec armées samory ahmadou scheikou,['Ahmadou'],Ahmadou,0,avec / lui / ses
31,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['dans', 'ces', 'conditions', 'lonne', 'écarta', 'point', 'route', 'kita', 'bamakou', 'dut', 'passer', 'proximité', 'sans', 'toutefois', 'quiéter', 'bandes', 'ennemies', 'circulaient', 'sud', 'cette', 'route']",dans ces conditions lonne écarta point route kita bamakou dut passer proximité sans toutefois quiéter bandes ennemies circulaient sud cette route,[],,2,dans / ces / leur
32,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['cependant', 'samory', 'pas', 'cessé', 'depuis', 'travailler', 'activement', 'son', 'œuvre', 'con', 'quête']",cependant samory pas cessé depuis travailler activement son œuvre con quête,[],,3,était / pour / lui
33,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['autre', 'part', 'difficultés', 'prochaine', 'campagne', 'seront', 'encore', 'augmentées', 'par', 'com', 'plications', 'peuvent', 'survenir', 'côté', 'ahma', 'dou', 'scheikou', 'mauvaises', 'intentions', 'notre', 'égard', 'attendent', 'occasion', 'pour', 'changer', 'actes', 'hostilité']",autre part difficultés prochaine campagne seront encore augmentées par com plications peuvent survenir côté ahma dou scheikou mauvaises intentions notre égard attendent occasion pour changer actes hostilité,[],,3,était / pour / lui
34,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['sort', 'place', 'nioro', 'assiégée', 'par', 'ahma', 'dou', 'sera', 'vraisemblablement', 'décidé', 'début', 'même', 'campagne']",sort place nioro assiégée par ahma dou sera vraisemblablement décidé début même campagne,[],,5,par / plus / hadj
35,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['présence', 'proximité', 'sur', 'flanc', 'gauche', 'notre', 'ligne', 'ravitaille', 'ment', 'armée', 'ahmadou', 'rendue', 'disponible', 'par', 'prise', 'cette', 'place', 'sera', 'nouveau', 'sujet', 'graves', 'inquiétudes', 'pour', 'sécurité', 'vitaillement']",présence proximité sur flanc gauche notre ligne ravitaille ment armée ahmadou rendue disponible par prise cette place sera nouveau sujet graves inquiétudes pour sécurité vitaillement,['Ahmadou'],Ahmadou,3,était / pour / lui
36,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['pour', 'mesure', 'faire', 'face', 'aux', 'diverses', 'éventualités', 'peuvent', 'produire', 'indis', 'pensable', 'donner', 'colonne', 'force', 'impo', 'santé']",pour mesure faire face aux diverses éventualités peuvent produire indis pensable donner colonne force impo santé,[],,3,était / pour / lui
37,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['simple', 'nouvelle', 'envoi', 'forte', 'colonne', 'aura', 'outre', 'avantage', 'faire', 'rentrer', 'immédiatement', 'sous', 'notre', 'autorité', 'nombreux', 'villages', 'fait', 'cause', 'commune', 'avec', 'samory', 'pourra', 'encore', 'comme', 'conséquence', 'déter', 'miner', 'dernier', 'replier', 'sans', 'coup', 'férir', 'sur', 'rive', 'droite', 'niger', 'tenir', 'respect', 'armée', 'ahmadou', 'enfin', 'faciliter', 'négociations', 'traités', 'paix', 'avec', 'ces', 'deux', 'chefs', 'indigènes']",simple nouvelle envoi forte colonne aura outre avantage faire rentrer immédiatement sous notre autorité nombreux villages fait cause commune avec samory pourra encore comme conséquence déter miner dernier replier sans coup férir sur rive droite niger tenir respect armée ahmadou enfin faciliter négociations traités paix avec ces deux chefs indigènes,['Ahmadou'],Ahmadou,0,avec / lui / ses
38,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['conséquence', 'lieutenant', 'colonel', 'frey', 'mandait', 'plus', 'troupes', 'indigènes', 'affectées', 'défense', 'postes', 'spahis', 'sénégalais', 'artilleurs', 'hommes', 'environ', 'infanterie', 'marine', 'disciplinaires', 'tirailleurs', 'sénégalais', 'tirailleurs', 'algé', 'riens']",conséquence lieutenant colonel frey mandait plus troupes indigènes affectées défense postes spahis sénégalais artilleurs hommes environ infanterie marine disciplinaires tirailleurs sénégalais tirailleurs algé riens,[],,3,était / pour / lui
39,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['ajoutait', 'minimum', 'forces', 'néces', 'saire', 'veut', 'pas', 'exposer', 'colonne', 'échec', 'mettrait', 'péril', 'son', 'existence', 'celle', 'tout', 'établissement', 'haut', 'sénégal']",ajoutait minimum forces néces saire veut pas exposer colonne échec mettrait péril son existence celle tout établissement haut sénégal,[],,3,était / pour / lui
40,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['comprend', 'derrière', 'pareilles', 'fortifica', 'tions', 'noirs', 'croient', 'abri', 'attaques', 'leurs', 'semblables']",comprend derrière pareilles fortifica tions noirs croient abri attaques leurs semblables,[],,3,était / pour / lui
41,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['défenseurs', 'résolus', 'disposent', 'grands', 'approvisionnements', 'pourront', 'prolonger', 'longtemps', 'résistance']",défenseurs résolus disposent grands approvisionnements pourront prolonger longtemps résistance,[],,3,était / pour / lui
42,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['nioro', 'défendue', 'par', 'montaga', 'tenu', 'pendant', 'plus', 'six', 'mois', 'contre', 'ahmadouscheikou']",nioro défendue par montaga tenu pendant plus six mois contre ahmadouscheikou,['Ahmadou'],Ahmadou,5,par / plus / hadj
43,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['daah', 'autre', 'frère', 'sultan', 'ségou', 'résisté', 'dans', 'lambédou', 'pendant', 'plusieurs', 'mois', 'contre', 'attaques', 'dernier']",daah autre frère sultan ségou résisté dans lambédou pendant plusieurs mois contre attaques dernier,[],,3,était / pour / lui
44,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['cependant', 'ahmadou', 'scheikou', 'habile', 'conduire', 'attaques', 'vive', 'force', 'lorsque', 'pressé', 'par', 'circonstances', 'croit', 'urgent', 'venir', 'cette', 'extrémité']",cependant ahmadou scheikou habile conduire attaques vive force lorsque pressé par circonstances croit urgent venir cette extrémité,['Ahmadou'],Ahmadou,3,était / pour / lui
45,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['après', 'semé', 'pour', 'amener', 'défections', 'dans', 'parti', 'ennemi', 'réunit', 'ses', 'con', 'tingents', 'leur', 'fait', 'plus', 'belles', 'promesses', 'butin', 'pour', 'leur', 'donner', 'cœur', 'puis', 'ordonne', 'assaut', 'général', 'place']",après semé pour amener défections dans parti ennemi réunit ses con tingents leur fait plus belles promesses butin pour leur donner cœur puis ordonne assaut général place,[],,2,dans / ces / leur
46,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['uns', 'griefs', 'formuler', 'contre', 'tribu', 'voisine', 'viennent', 'demander', 'appui', 'nos', 'forces', 'pour', 'aller', 'combattre', 'veut', 'dire', 'piller']",uns griefs formuler contre tribu voisine viennent demander appui nos forces pour aller combattre veut dire piller,[],,3,était / pour / lui
47,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['autres', 'chefs', 'plus', 'moins', 'compromis', 'par', 'leurs', 'agissements', 'avec', 'nos', 'ennemis', 'craignant', 'prochaines', 'représailles', 'viennent', 'faire', 'protestations', 'éclatantes', 'dévouement', 'soumission', 'pendant', 'temps', 'autres', 'envoyés', 'ces', 'mêmes', 'chefs', 'agissent', 'même', 'manière', 'auprès', 'nos', 'ennemis']",autres chefs plus moins compromis par leurs agissements avec nos ennemis craignant prochaines représailles viennent faire protestations éclatantes dévouement soumission pendant temps autres envoyés ces mêmes chefs agissent même manière auprès nos ennemis,[],,5,par / plus / hadj
48,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['foule', 'parmi', 'ces', 'gens', 'empres', 'sés', 'espions', 'ahmadou', 'scheikou', 'samory']",foule parmi ces gens empres sés espions ahmadou scheikou samory,['Ahmadou'],Ahmadou,2,dans / ces / leur
49,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['recueillent', 'avec', 'soin', 'propos', 'tiennent', 'autour', 'eux', 'sur', 'nouveau', 'chef', 'sur', 'son', 'caractère', 'sur', 'son', 'passé', 'sur', 'sait', 'ses', 'projets']",recueillent avec soin propos tiennent autour eux sur nouveau chef sur son caractère sur son passé sur sait ses projets,[],,0,avec / lui / ses
50,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['soir', 'même', 'émissaires', 'partiront', 'dans', 'différentes', 'directions', 'pour', 'aller', 'reporter', 'fidèlement', 'leurs', 'maîtres', 'bruits', 'recueillis']",soir même émissaires partiront dans différentes directions pour aller reporter fidèlement leurs maîtres bruits recueillis,[],,2,dans / ces / leur
51,Campagne_dans_le_Haut-Sénégal_et_[...]Frey_Henri_bpt6k6550198v.txt,"['nul', 'mieux', 'lui', 'apte', 'faireces', 'marches', 'forcées', 'exécuter', 'ces', 'coups', 'main', 'chef', 'jeune', 'audacieux', 'peut', 'concevoir', 'entreprendre']",nul mieux lui apte faireces marches forcées exécuter ces coups main chef jeune audacieux peut concevoir entreprendre,[],,2,dans / ces / leur
